"Element","h_index","g_index","m_index","TC","NP","PY_start","Author"
"ACUT D",2,2,0.5,19,2,2023,"3"
"AKGUNDUZ D",2,2,0.222222222222222,49,2,2018,"8"
"A. A",1,1,0.142857142857143,50,1,2020,"1"
"ABDULLAH M R",1,1,0.25,23,1,2023,"2"
"ADJAPONG E",1,1,0.0909090909090909,49,1,2016,"4"
"ADMIRAAL W",1,1,0.142857142857143,17,1,2020,"5"
"AIDOO B",1,1,0.333333333333333,2,1,2024,"6"
"AKDEMIR Z",1,1,0.333333333333333,6,1,2024,"7"
"AKTAMIÅž H",1,1,0.0909090909090909,47,1,2016,"9"
"AKTAS I",1,1,0.5,1,1,2025,"10"
"AKUMA F",1,1,0.125,42,1,2019,"11"
"AL-AMRI M",1,1,0.5,3,1,2025,"12"
"AL-BALUSHI S",1,1,0.5,3,1,2025,"13"
"AL-YAHMEDI A",1,1,0.5,3,1,2025,"14"
"ALANAZI A",1,1,0.333333333333333,1,1,2024,"15"
"ALEXANDER A",1,1,0.2,16,1,2022,"16"
"ALEXIOU N",1,1,0.0909090909090909,2,1,2016,"17"
"ALHABSI N",1,1,0.5,3,1,2025,"18"
"ALHINAI M",1,1,0.5,3,1,2025,"19"
"ALHOSNI K",1,1,0.5,3,1,2025,"20"
